State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,Area (in ha),TOT_P,Class,VP/MC,VP Area,VP Population,Forest Area (in Hectares),Area under Non-Agricultural Uses (in Hectares),Barren & Un-cultivable Land Area (in Hectares),Permanent Pastures and Other Grazing Land Area (in Hectares),Land Under Miscellaneous Tree Crops etc. Area (in Hectares),Culturable Waste Land Area (in Hectares),Fallows Land other than Current Fallows Area (in Hectares),Current Fallows Area (in Hectares),Net Area Sown (in Hectares),Total Unirrigated Land Area (in Hectares),Area Irrigated by Source (in Hectares),Canals Area (in Hectares),Wells/Tube Wells Area (in Hectares),Tanks/Lakes Area (in Hectares),Waterfall Area (in Hectares),Other Source (specify) Area (in Hectares)
30,585,05610,626667,0000,000000,VILLAGE,Moitem ,Rural,88.52,860,D,Moitem,457.34,4730,0,20.29,18.12,0,5.98,17.39,26.74,0,0,0,0,0,0,0,0,0
30,586,05617,626946,0000,000000,VILLAGE,Molcarnem ,Rural,901,1507,D,Molcornem,2373,2887,222,48.1,0,0,0,160.9,0,0,470,350,120,0,60,20,0,40
30,586,05617,626945,0000,000000,VILLAGE,Molcopona ,Rural,227,457,D,Molcornem,2373,2887,88,10.5,0,0,0,16.3,0,0,112.2,98.2,14,0,4,0,0,10
30,586,05618,626975,0000,000000,VILLAGE,Molem ,Rural,3665,1715,D,Molem,5268,2798,2853.6,98.2,0,0,486.4,0,0,0,226.8,210.4,16.4,0,10.4,0,0,6
30,585,05609,626647,0000,000000,VILLAGE,Mopa ,Rural,875.37,1082,D,Tamboxern Mopa Uguem,1372.25,2806,147.48,149.87,0,0,0,180.24,0,0,397.78,386.21,11.57,0,0,0,0,11.57
30,585,05613,626786,0000,000000,VILLAGE,Morlem ,Rural,972.87,3290,C,Morlem,972.87,3290,275.33,104.94,0,0,0,17.98,30,15,529.62,521.45,8.17,2.15,3.25,0,0,2.77
30,586,05617,626953,0000,000000,VILLAGE,Morpila ,Rural,1433,2857,C,Morpila,1433,2857,306.6,99.5,0,0,0,200.6,0,0,826.3,801.3,25,0,15,0,5,5
30,586,05618,626999,0000,000000,VILLAGE,Muguli ,Rural,764,508,D,Uguem,6309,4733,0,49,0,0,0,119.7,0,0,595.3,580,15.3,0,2,0,0,13.3
30,586,05616,626913,0000,000000,VILLAGE,Mulem ,Rural,808,2799,C,Paroda,1192,3419,0.7,183.7,0,0,0,108.1,0,0,515.5,448.3,67.2,67.2,0,0,0,0
30,585,05612,626747,0000,000000,VILLAGE,Mulgao ,Rural,759.39,3892,C,Mulgao,759.39,3892,0,120.5,122.5,70,40,10,49.39,45,302,226,76,0,0,0,0,76
30,585,05610,626682,0000,000000,VILLAGE,Nachinola ,Rural,244.05,2725,C,Nachinola,244.05,2725,59.78,8.51,0,0,76.35,68.43,0,0,30.98,30.98,0,0,0,0,0,0
30,585,05610,626665,0000,000000,VILLAGE,Nadora ,Rural,509.96,1257,D,Nadora,509.96,1257,154.09,34.32,0,0,132.54,91.08,0,0,97.93,97.93,0,0,0,0,0,0
30,585,05613,626804,0000,000000,VILLAGE,Nagargao ,Rural,161,549,D,Nagargaon,10172.57,4652,0,1.76,1.88,0,2.05,8.79,3.25,1.77,141.5,118.33,23.17,10.82,6.85,0,0,5.5
30,585,05610,626674,0000,000000,VILLAGE,Nagoa ,Rural,154.57,1455,D,"Arpora,",577.41,4710,0,4.5,4.51,0,0,0,1.41,2.66,141.49,140.31,1.18,0,0,1.18,0,0
30,586,05616,626888,0000,000000,VILLAGE,Nagoa ,Rural,518,3873,C,Nagoa,518,3873,0,163.3,0,0,0,82.6,0,0,272.2,258.7,13.5,0,13.5,0,0,0
30,585,05613,626813,0000,000000,VILLAGE,Naguem ,Rural,343.39,479,D,Mauzi,2796.33,4080,194.87,5.36,0,0,0,14.95,8.1,6,114.11,114.11,0,0,0,0,0,0
30,586,05617,626942,0000,000000,VILLAGE,Nagvem ,Rural,354,475,D,Molcornem,2373,2887,70.1,19.7,0,0,0,49.2,0,0,215,140,75,65.5,2,3,0,4.5
30,586,05618,627010,0000,000000,VILLAGE,Naiquinim ,Rural,582,252,D,Bati,12894,3283,90.8,212.2,0,0,0,109,0,0,170,170,0,0,0,0,0,0
30,585,05613,626792,0000,000000,VILLAGE,Naneli ,Rural,609,294,D,Dongurli- Thane,6901.66,5488,258.99,28.71,0,0,0,91.37,80.15,64.2,85.58,74.79,10.79,4,6.79,0,0,0
30,585,05613,626797,0000,000000,VILLAGE,Nanorem ,Rural,368.09,287,D,Nagargaon,10172.57,4652,158.26,1.73,17.99,0,0,13.79,1.89,0.33,174.1,157.94,16.16,5.57,8.61,0,0,1.98
30,586,05617,626952,0000,000000,VILLAGE,Naquerim ,Rural,1262,491,D,Naquerim,1262,491,0,450.2,0,0,0,501.8,0,0,310,260,50,0,0,30,10,10
30,585,05612,626755,0000,000000,VILLAGE,Naroa ,Rural,100.27,1897,D,Naroa,801.45,1897,0,10,239.95,19.7,10,30.3,6,4,481.5,402,79.5,0,2,60,0,17.5
30,585,05611,626712,0000,000000,VILLAGE,Naroa ,Rural,801.45,487,D,Sao Matias,642.7,2252,0,37.03,0,0,0,7,0,0,56.24,56.24,0,0,0,0,0,0
30,585,05611,626709,0000,000000,VILLAGE,Navelim ,Rural,356.46,1133,D,Goltim-Navelim,708.55,2767,0,240,0,0,0,100.23,0,0,16.23,16.23,0,0,0,0,0,0
30,585,05612,626759,0000,000000,VILLAGE,Navelim ,Rural,1088.73,2703,C,Navelim,1088.73,2703,40,90.33,250,36,22,142.5,21,11,475.9,335.9,140,0,0,0,0,140
